event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season,winner,loser,win_score,lose_score
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248874,Case Western Reserve,11,Ohio Wesleyan,1,1/1/20,Women,0,2020,Case Western Reserve,Ohio Wesleyan,11,1
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248875,Xavier,6,Akron,8,1/1/20,Women,0,2020,Akron,Xavier,8,6
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248876,Ohio,8,Ohio Wesleyan,2,1/1/20,Women,0,2020,Ohio,Ohio Wesleyan,8,2
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248877,Dayton,11,Ohio State B,2,1/1/20,Women,0,2020,Dayton,Ohio State B,11,2
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248878,Xavier,7,Ohio Wesleyan,3,1/1/20,Women,0,2020,Xavier,Ohio Wesleyan,7,3
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248879,Case Western Reserve,5,Ohio,8,1/1/20,Women,0,2020,Ohio,Case Western Reserve,8,5
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248880,Dayton,8,Akron,1,1/1/20,Women,0,2020,Dayton,Akron,8,1
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248881,Ohio,7,Akron,0,1/1/20,Women,0,2020,Ohio,Akron,7,0
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248882,Xavier,5,Ohio State B,8,1/1/20,Women,0,2020,Ohio State B,Xavier,8,5
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248883,Case Western Reserve,9,Dayton,5,1/1/20,Women,0,2020,Case Western Reserve,Dayton,9,5
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248884,Ohio State B,6,Ohio Wesleyan,4,1/1/20,Women,0,2020,Ohio State B,Ohio Wesleyan,6,4
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248885,Ohio,10,Xavier,2,1/1/20,Women,0,2020,Ohio,Xavier,10,2
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248886,Xavier,1,Dayton,11,1/1/20,Women,0,2020,Dayton,Xavier,11,1
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248887,Ohio,11,Ohio State B,1,1/1/20,Women,0,2020,Ohio,Ohio State B,11,1
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248888,Case Western Reserve,11,Akron,1,1/1/20,Women,0,2020,Case Western Reserve,Akron,11,1
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248889,Ohio State B,7,Akron,5,3/1/20,Women,0,2020,Ohio State B,Akron,7,5
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248890,Case Western Reserve,11,Xavier,0,3/1/20,Women,0,2020,Case Western Reserve,Xavier,11,0
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248891,Dayton,11,Ohio Wesleyan,3,3/1/20,Women,0,2020,Dayton,Ohio Wesleyan,11,3
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248892,Case Western Reserve,11,Ohio State B,0,3/1/20,Women,0,2020,Case Western Reserve,Ohio State B,11,0
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248893,Akron,7,Ohio Wesleyan,3,3/1/20,Women,0,2020,Akron,Ohio Wesleyan,7,3
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248894,Ohio,10,Dayton,3,3/1/20,Women,0,2020,Ohio,Dayton,10,3
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248895,Ohio,12,Case Western Reserve,5,3/1/20,Women,0,2020,Ohio,Case Western Reserve,12,5
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,248896,Dayton,9,Ohio State B,1,3/1/20,Women,0,2020,Dayton,Ohio State B,9,1
2nd Annual Claremont Ultimate Classic,College,248906,Claremont,7,UCLA B,6,1/1/20,Women,0,2020,Claremont,UCLA B,7,6
2nd Annual Claremont Ultimate Classic,College,248908,Claremont,5,Occidental,9,1/1/20,Women,0,2020,Occidental,Claremont,9,5
2nd Annual Claremont Ultimate Classic,College,248909,UCLA B,6,San Diego State University B,8,1/1/20,Women,0,2020,San Diego State University B,UCLA B,8,6
2nd Annual Claremont Ultimate Classic,College,248910,Claremont,7,California-San Diego B,8,1/1/20,Women,0,2020,California-San Diego B,Claremont,8,7
2nd Annual Claremont Ultimate Classic,College,248911,San Diego State University B,7,Occidental,10,1/1/20,Women,0,2020,Occidental,San Diego State University B,10,7
2nd Annual Claremont Ultimate Classic,College,248912,Claremont,4,San Diego State University B,7,1/1/20,Women,0,2020,San Diego State University B,Claremont,7,4
2nd Annual Claremont Ultimate Classic,College,248913,California-San Diego B,9,UCLA B,4,1/1/20,Women,0,2020,California-San Diego B,UCLA B,9,4
TOTs 2020,College,248914,Purdue,8,Georgia College,4,3/1/20,Women,0,2020,Purdue,Georgia College,8,4
The Culture 2020,College,249092,Williams,6,Connecticut,8,3/7/20,Women,0,2020,Connecticut,Williams,8,6
The Culture 2020,College,249093,Brandeis,5,Drexel,4,3/7/20,Women,0,2020,Brandeis,Drexel,5,4
The Culture 2020,College,249094,Williams,4,Drexel,6,3/7/20,Women,0,2020,Drexel,Williams,6,4
The Culture 2020,College,249095,Brandeis,7,Connecticut,5,3/7/20,Women,0,2020,Brandeis,Connecticut,7,5
The Culture 2020,College,249096,Williams,2,Brandeis,7,3/7/20,Women,0,2020,Brandeis,Williams,7,2
The Culture 2020,College,249097,Connecticut,11,Drexel,5,3/7/20,Women,0,2020,Connecticut,Drexel,11,5
The Culture 2020,College,249098,Mount Holyoke,9,Syracuse,8,3/7/20,Women,0,2020,Mount Holyoke,Syracuse,9,8
The Culture 2020,College,249099,New Hampshire,8,SUNY-Stony Brook,7,3/7/20,Women,0,2020,New Hampshire,SUNY-Stony Brook,8,7
The Culture 2020,College,249100,Mount Holyoke,8,SUNY-Stony Brook,6,3/7/20,Women,0,2020,Mount Holyoke,SUNY-Stony Brook,8,6
The Culture 2020,College,249101,New Hampshire,9,Syracuse,7,3/7/20,Women,0,2020,New Hampshire,Syracuse,9,7
The Culture 2020,College,249102,Mount Holyoke,8,New Hampshire,7,3/7/20,Women,0,2020,Mount Holyoke,New Hampshire,8,7
The Culture 2020,College,249103,Syracuse,8,SUNY-Stony Brook,6,3/7/20,Women,0,2020,Syracuse,SUNY-Stony Brook,8,6
The Culture 2020,College,249110,Drexel,11,SUNY-Albany,6,3/8/20,Women,0,2020,Drexel,SUNY-Albany,11,6
The Culture 2020,College,249111,SUNY-Stony Brook,9,SUNY Cortland,3,3/8/20,Women,0,2020,SUNY-Stony Brook,SUNY Cortland,9,3
The Culture 2020,College,249112,Hofstra,2,Williams,14,3/8/20,Women,0,2020,Williams,Hofstra,14,2
The Culture 2020,College,249113,Syracuse,11,Marist,7,3/8/20,Women,0,2020,Syracuse,Marist,11,7
The Culture 2020,College,249114,Drexel,2,New Hampshire,10,3/8/20,Women,0,2020,New Hampshire,Drexel,10,2
The Culture 2020,College,249115,SUNY-Stony Brook,2,Brandeis,13,3/8/20,Women,0,2020,Brandeis,SUNY-Stony Brook,13,2
The Culture 2020,College,249116,Connecticut,12,Williams,5,3/8/20,Women,0,2020,Connecticut,Williams,12,5
The Culture 2020,College,249117,Mount Holyoke,11,Syracuse,8,3/8/20,Women,0,2020,Mount Holyoke,Syracuse,11,8
The Culture 2020,College,249118,New Hampshire,11,Brandeis,6,3/8/20,Women,0,2020,New Hampshire,Brandeis,11,6
The Culture 2020,College,249119,Connecticut,5,Mount Holyoke,10,3/8/20,Women,0,2020,Mount Holyoke,Connecticut,10,5
The Culture 2020,College,249120,New Hampshire,6,Mount Holyoke,9,3/8/20,Women,0,2020,Mount Holyoke,New Hampshire,9,6
The Culture 2020,College,249121,SUNY-Albany,10,SUNY Cortland,1,3/8/20,Women,0,2020,SUNY-Albany,SUNY Cortland,10,1
The Culture 2020,College,249122,Marist,9,Hofstra,2,3/8/20,Women,0,2020,Marist,Hofstra,9,2
The Culture 2020,College,249127,SUNY-Stony Brook,8,Williams,4,3/8/20,Women,0,2020,SUNY-Stony Brook,Williams,8,4
The Culture 2020,College,249129,Brandeis,6,Connecticut,8,3/8/20,Women,0,2020,Connecticut,Brandeis,8,6
The Culture 2020,College,249219,Brandeis,5,New Hampshire,6,3/7/20,Women,0,2020,New Hampshire,Brandeis,6,5
The Culture 2020,College,249220,Connecticut,1,Mount Holyoke,11,3/7/20,Women,0,2020,Mount Holyoke,Connecticut,11,1
2020 Women's BBQ,College,249283,Puget Sound,13,Pacific Lutheran B,0,1/1/20,Women,0,2020,Puget Sound,Pacific Lutheran B,13,0
2020 Women's BBQ,College,249284,Portland State,6,Seattle,10,1/1/20,Women,0,2020,Seattle,Portland State,10,6
2020 Women's BBQ,College,249285,Puget Sound,13,Portland State,2,1/1/20,Women,0,2020,Puget Sound,Portland State,13,2
2020 Women's BBQ,College,249286,Western Washington B,11,Seattle,5,1/1/20,Women,0,2020,Western Washington B,Seattle,11,5
2020 Women's BBQ,College,249287,Seattle,13,Pacific Lutheran B,1,1/1/20,Women,0,2020,Seattle,Pacific Lutheran B,13,1
2020 Women's BBQ,College,249288,Western Washington B,13,Portland State,6,1/1/20,Women,0,2020,Western Washington B,Portland State,13,6
2020 Women's BBQ,College,249289,Puget Sound,13,Seattle,3,1/1/20,Women,0,2020,Puget Sound,Seattle,13,3
2020 Women's BBQ,College,249290,Western Washington B,13,Pacific Lutheran B,2,1/1/20,Women,0,2020,Western Washington B,Pacific Lutheran B,13,2
2020 Women's BBQ,College,249291,Puget Sound,13,Western Washington B,5,1/1/20,Women,0,2020,Puget Sound,Western Washington B,13,5
2020 Women's BBQ,College,249292,Portland State,13,Pacific Lutheran B,2,1/1/20,Women,0,2020,Portland State,Pacific Lutheran B,13,2
Big Sky Brawl 2020,College,249429,Northern Arizona,13,Idaho,2,1/1/20,Women,0,2020,Northern Arizona,Idaho,13,2
Big Sky Brawl 2020,College,249430,Montana State University,8,Nevada-Reno,7,1/1/20,Women,0,2020,Montana State University,Nevada-Reno,8,7
Big Sky Brawl 2020,College,249431,Boise State,8,Montana,5,1/1/20,Women,0,2020,Boise State,Montana,8,5
Big Sky Brawl 2020,College,249432,Northern Arizona,8,Nevada-Reno,3,1/1/20,Women,0,2020,Northern Arizona,Nevada-Reno,8,3
Big Sky Brawl 2020,College,249433,Montana State University,9,Idaho,2,3/1/20,Women,0,2020,Montana State University,Idaho,9,2
Big Sky Brawl 2020,College,249434,Boise State,4,Oregon State,8,3/1/20,Women,0,2020,Oregon State,Boise State,8,4
Big Sky Brawl 2020,College,249435,Montana State University,8,Boise State,3,3/1/20,Women,0,2020,Montana State University,Boise State,8,3
Big Sky Brawl 2020,College,249436,Oregon State,12,Idaho,3,1/1/20,Women,0,2020,Oregon State,Idaho,12,3
Big Sky Brawl 2020,College,249437,Nevada-Reno,11,Montana,7,1/1/20,Women,0,2020,Nevada-Reno,Montana,11,7
Big Sky Brawl 2020,College,249438,Northern Arizona,5,Boise State,3,3/1/20,Women,0,2020,Northern Arizona,Boise State,5,3
Big Sky Brawl 2020,College,249439,Oregon State,7,Nevada-Reno,5,3/1/20,Women,0,2020,Oregon State,Nevada-Reno,7,5
Big Sky Brawl 2020,College,249440,Idaho,6,Montana,7,1/1/20,Women,0,2020,Montana,Idaho,7,6
Big Sky Brawl 2020,College,249442,Northern Arizona,9,Montana State University,8,3/1/20,Women,0,2020,Northern Arizona,Montana State University,9,8
Big Sky Brawl 2020,College,249443,Oregon State,11,Montana,3,3/1/20,Women,0,2020,Oregon State,Montana,11,3
Big Sky Brawl 2020,College,249444,Boise State,8,Idaho,6,1/1/20,Women,0,2020,Boise State,Idaho,8,6
Big Sky Brawl 2020,College,249445,Northern Arizona,8,Oregon State,9,1/1/20,Women,0,2020,Oregon State,Northern Arizona,9,8
Big Sky Brawl 2020,College,249446,Montana State University,8,Montana,7,1/1/20,Women,0,2020,Montana State University,Montana,8,7
Big Sky Brawl 2020,College,249447,Idaho,6,Nevada-Reno,9,3/1/20,Women,0,2020,Nevada-Reno,Idaho,9,6
Big Sky Brawl 2020,College,249449,Northern Arizona,11,Montana,3,3/1/20,Women,0,2020,Northern Arizona,Montana,11,3
Big Sky Brawl 2020,College,249450,Montana State University,13,Oregon State,10,1/1/20,Women,0,2020,Montana State University,Oregon State,13,10
Big Sky Brawl 2020,College,249451,Boise State,3,Nevada-Reno,9,1/1/20,Women,0,2020,Nevada-Reno,Boise State,9,3
Big Sky Brawl 2020,College,249452,Brigham Young,13,Oregon State,8,1/1/20,Women,0,2020,Brigham Young,Oregon State,13,8
Big Sky Brawl 2020,College,249453,Brigham Young,13,Northern Arizona,2,1/1/20,Women,0,2020,Brigham Young,Northern Arizona,13,2
Big Sky Brawl 2020,College,249454,Brigham Young,13,Montana State University,2,1/1/20,Women,0,2020,Brigham Young,Montana State University,13,2
Big Sky Brawl 2020,College,249455,Brigham Young,13,Boise State,1,1/1/20,Women,0,2020,Brigham Young,Boise State,13,1
Big Sky Brawl 2020,College,249468,Oregon State,3,Northern Arizona,6,3/1/20,Women,0,2020,Northern Arizona,Oregon State,6,3
Big Sky Brawl 2020,College,249469,Montana State University,4,Nevada-Reno,5,3/1/20,Women,0,2020,Nevada-Reno,Montana State University,5,4
Big Sky Brawl 2020,College,249470,Montana,5,Boise State,6,3/1/20,Women,0,2020,Boise State,Montana,6,5
2020 Women's BBQ,College,249877,Pacific Lutheran,13,Washington B,3,1/1/20,Women,0,2020,Pacific Lutheran,Washington B,13,3
2020 Women's BBQ,College,249878,Portland,13,Washington B,2,1/1/20,Women,0,2020,Portland,Washington B,13,2
2020 Women's BBQ,College,249880,Portland,11,Pacific Lutheran,5,1/1/20,Women,0,2020,Portland,Pacific Lutheran,11,5
2020 Women's BBQ,College,249884,Pacific Lutheran B,2,Washington B,15,3/1/20,Women,0,2020,Washington B,Pacific Lutheran B,15,2
2020 Women's BBQ,College,249885,Portland,15,Portland State,7,3/1/20,Women,0,2020,Portland,Portland State,15,7
2020 Women's BBQ,College,249887,Seattle,6,Pacific Lutheran,15,3/1/20,Women,0,2020,Pacific Lutheran,Seattle,15,6
2020 Women's BBQ,College,249888,Washington B,7,Puget Sound,15,3/1/20,Women,0,2020,Puget Sound,Washington B,15,7
2020 Women's BBQ,College,249890,Pacific Lutheran,8,Puget Sound,15,3/1/20,Women,0,2020,Puget Sound,Pacific Lutheran,15,8
2020 Women's BBQ,College,249891,Portland,6,Puget Sound,14,3/1/20,Women,0,2020,Puget Sound,Portland,14,6
Stanford Invite 2020,College,249892,Carleton College,9,Pittsburgh,6,3/7/20,Women,0,2020,Carleton College,Pittsburgh,9,6
Stanford Invite 2020,College,249893,UCLA,9,California-Santa Cruz,6,3/7/20,Women,0,2020,UCLA,California-Santa Cruz,9,6
Stanford Invite 2020,College,249894,Carleton College,13,California-Santa Cruz,2,3/7/20,Women,0,2020,Carleton College,California-Santa Cruz,13,2
Stanford Invite 2020,College,249895,UCLA,10,Pittsburgh,4,3/7/20,Women,0,2020,UCLA,Pittsburgh,10,4
Stanford Invite 2020,College,249896,Carleton College,10,UCLA,8,3/7/20,Women,0,2020,Carleton College,UCLA,10,8
Stanford Invite 2020,College,249897,Pittsburgh,10,California-Santa Cruz,6,3/7/20,Women,0,2020,Pittsburgh,California-Santa Cruz,10,6
Stanford Invite 2020,College,249898,Tufts,13,California,6,3/7/20,Women,0,2020,Tufts,California,13,6
Stanford Invite 2020,College,249899,British Columbia,13,Oregon,3,3/7/20,Women,0,2020,British Columbia,Oregon,13,3
Stanford Invite 2020,College,249900,Tufts,13,Oregon,4,3/7/20,Women,0,2020,Tufts,Oregon,13,4
Stanford Invite 2020,College,249901,British Columbia,10,California,4,3/7/20,Women,0,2020,British Columbia,California,10,4
Stanford Invite 2020,College,249902,Tufts,13,British Columbia,8,3/7/20,Women,0,2020,Tufts,British Columbia,13,8
Stanford Invite 2020,College,249903,California,8,Oregon,9,3/7/20,Women,0,2020,Oregon,California,9,8
Stanford Invite 2020,College,249904,California-Santa Barbara,10,Colorado,7,3/7/20,Women,0,2020,California-Santa Barbara,Colorado,10,7
Stanford Invite 2020,College,249905,Washington,11,Cal Poly-SLO,6,3/7/20,Women,0,2020,Washington,Cal Poly-SLO,11,6
Stanford Invite 2020,College,249906,California-Santa Barbara,10,Cal Poly-SLO,6,3/7/20,Women,0,2020,California-Santa Barbara,Cal Poly-SLO,10,6
Stanford Invite 2020,College,249907,Washington,13,Colorado,10,3/7/20,Women,0,2020,Washington,Colorado,13,10
Stanford Invite 2020,College,249908,California-Santa Barbara,10,Washington,12,3/7/20,Women,0,2020,Washington,California-Santa Barbara,12,10
Stanford Invite 2020,College,249909,Colorado,12,Cal Poly-SLO,6,3/7/20,Women,0,2020,Colorado,Cal Poly-SLO,12,6
Stanford Invite 2020,College,249910,California-San Diego,13,Texas,4,3/7/20,Women,0,2020,California-San Diego,Texas,13,4
Stanford Invite 2020,College,249911,Stanford,11,Minnesota,6,3/7/20,Women,0,2020,Stanford,Minnesota,11,6
Stanford Invite 2020,College,249912,California-San Diego,12,Minnesota,7,3/7/20,Women,0,2020,California-San Diego,Minnesota,12,7
Stanford Invite 2020,College,249913,Stanford,9,Texas,6,3/7/20,Women,0,2020,Stanford,Texas,9,6
Stanford Invite 2020,College,249914,California-San Diego,7,Stanford,8,3/7/20,Women,0,2020,Stanford,California-San Diego,8,7
Stanford Invite 2020,College,249915,Texas,9,Minnesota,8,3/7/20,Women,0,2020,Texas,Minnesota,9,8
Stanford Invite 2020,College,249918,California-San Diego,9,Pittsburgh,5,3/7/20,Women,0,2020,California-San Diego,Pittsburgh,9,5
Stanford Invite 2020,College,249919,Texas,6,UCLA,9,3/7/20,Women,0,2020,UCLA,Texas,9,6
Stanford Invite 2020,College,249920,Carleton College,12,Colorado,8,3/8/20,Women,0,2020,Carleton College,Colorado,12,8
Stanford Invite 2020,College,249921,Stanford,13,California-Santa Barbara,9,3/8/20,Women,0,2020,Stanford,California-Santa Barbara,13,9
Stanford Invite 2020,College,249922,Washington,8,California-San Diego,11,3/8/20,Women,0,2020,California-San Diego,Washington,11,8
Stanford Invite 2020,College,249923,Tufts,10,UCLA,9,3/8/20,Women,0,2020,Tufts,UCLA,10,9
Stanford Invite 2020,College,249924,Carleton College,13,Stanford,7,3/8/20,Women,0,2020,Carleton College,Stanford,13,7
Stanford Invite 2020,College,249925,California-San Diego,6,Tufts,9,3/8/20,Women,0,2020,Tufts,California-San Diego,9,6
Stanford Invite 2020,College,249926,Carleton College,13,Tufts,10,3/8/20,Women,0,2020,Carleton College,Tufts,13,10
Stanford Invite 2020,College,249927,Stanford,10,California-San Diego,7,3/8/20,Women,0,2020,Stanford,California-San Diego,10,7
Stanford Invite 2020,College,249928,Colorado,8,California-Santa Barbara,7,3/8/20,Women,0,2020,Colorado,California-Santa Barbara,8,7
Stanford Invite 2020,College,249929,Washington,10,UCLA,7,3/8/20,Women,0,2020,Washington,UCLA,10,7
Stanford Invite 2020,College,249930,Colorado,8,Washington,10,3/8/20,Women,0,2020,Washington,Colorado,10,8
Stanford Invite 2020,College,249931,California-Santa Barbara,7,UCLA,9,3/8/20,Women,0,2020,UCLA,California-Santa Barbara,9,7
Stanford Invite 2020,College,249932,British Columbia,10,Colorado,11,3/7/20,Women,0,2020,Colorado,British Columbia,11,10
Stanford Invite 2020,College,249933,British Columbia,13,Texas,7,3/8/20,Women,0,2020,British Columbia,Texas,13,7
Stanford Invite 2020,College,249934,Oregon,5,Pittsburgh,13,3/8/20,Women,0,2020,Pittsburgh,Oregon,13,5
Stanford Invite 2020,College,249935,British Columbia,8,Pittsburgh,11,3/8/20,Women,0,2020,Pittsburgh,British Columbia,11,8
Stanford Invite 2020,College,249936,Texas,12,Oregon,5,3/8/20,Women,0,2020,Texas,Oregon,12,5
Stanford Invite 2020,College,249937,California-Santa Cruz,5,Cal Poly-SLO,11,3/8/20,Women,0,2020,Cal Poly-SLO,California-Santa Cruz,11,5
Stanford Invite 2020,College,249938,California,7,Minnesota,8,3/8/20,Women,0,2020,Minnesota,California,8,7
Stanford Invite 2020,College,249939,California-Santa Cruz,3,Minnesota,13,3/8/20,Women,0,2020,Minnesota,California-Santa Cruz,13,3
Stanford Invite 2020,College,249940,California,11,Cal Poly-SLO,8,3/8/20,Women,0,2020,California,Cal Poly-SLO,11,8
Stanford Invite 2020,College,249942,Cal Poly-SLO,8,Minnesota,12,3/8/20,Women,0,2020,Minnesota,Cal Poly-SLO,12,8
The Culture 2020,College,249993,SUNY-Albany,9,Hofstra,3,3/7/20,Women,0,2020,SUNY-Albany,Hofstra,9,3
The Culture 2020,College,249994,SUNY Cortland,5,College of New Jersey,4,3/7/20,Women,0,2020,SUNY Cortland,College of New Jersey,5,4
The Culture 2020,College,249995,SUNY-Albany,6,SUNY Cortland,2,3/7/20,Women,0,2020,SUNY-Albany,SUNY Cortland,6,2
The Culture 2020,College,249996,Marist,8,College of New Jersey,6,3/7/20,Women,0,2020,Marist,College of New Jersey,8,6
The Culture 2020,College,249997,College of New Jersey,2,Hofstra,7,3/7/20,Women,0,2020,Hofstra,College of New Jersey,7,2
The Culture 2020,College,249998,Marist,3,SUNY Cortland,2,3/7/20,Women,0,2020,Marist,SUNY Cortland,3,2
The Culture 2020,College,249999,SUNY-Albany,7,College of New Jersey,0,3/7/20,Women,0,2020,SUNY-Albany,College of New Jersey,7,0
The Culture 2020,College,250000,Marist,6,Hofstra,4,3/7/20,Women,0,2020,Marist,Hofstra,6,4
The Culture 2020,College,250001,SUNY-Albany,4,Marist,5,3/7/20,Women,0,2020,Marist,SUNY-Albany,5,4
The Culture 2020,College,250002,SUNY Cortland,4,Hofstra,2,3/7/20,Women,0,2020,SUNY Cortland,Hofstra,4,2
The Culture 2020,College,250003,Drexel,5,SUNY-Stony Brook,6,3/7/20,Women,0,2020,SUNY-Stony Brook,Drexel,6,5
The Culture 2020,College,250004,Williams,9,Syracuse,8,3/7/20,Women,0,2020,Williams,Syracuse,9,8
The Culture 2020,College,250005,Hofstra,6,College of New Jersey,5,3/8/20,Women,0,2020,Hofstra,College of New Jersey,6,5
The Culture 2020,College,250006,College of New Jersey,2,SUNY Cortland,3,3/8/20,Women,0,2020,SUNY Cortland,College of New Jersey,3,2
Mash-Up 2020,College,250021,SUNY-Fredonia,8,RIT,5,3/7/20,Women,0,2020,SUNY-Fredonia,RIT,8,5
Mash-Up 2020,College,250022,Liberty,13,Rhode Island,4,3/7/20,Women,0,2020,Liberty,Rhode Island,13,4
Mash-Up 2020,College,250023,Vermont B,4,Haverford/Bryn Mawr,9,3/7/20,Women,0,2020,Haverford/Bryn Mawr,Vermont B,9,4
Mash-Up 2020,College,250024,Liberty,7,Haverford/Bryn Mawr,9,3/7/20,Women,0,2020,Haverford/Bryn Mawr,Liberty,9,7
Mash-Up 2020,College,250025,Cincinnati,13,RIT,2,3/7/20,Women,0,2020,Cincinnati,RIT,13,2
Mash-Up 2020,College,250026,Vermont B,8,Rhode Island,9,3/7/20,Women,0,2020,Rhode Island,Vermont B,9,8
Mash-Up 2020,College,250027,Liberty,9,Cincinnati,5,3/7/20,Women,0,2020,Liberty,Cincinnati,9,5
Mash-Up 2020,College,250028,SUNY-Fredonia,7,Rhode Island,2,3/7/20,Women,0,2020,SUNY-Fredonia,Rhode Island,7,2
Mash-Up 2020,College,250029,Vermont B,10,RIT,2,3/7/20,Women,0,2020,Vermont B,RIT,10,2
Mash-Up 2020,College,250030,Liberty,9,SUNY-Fredonia,3,3/7/20,Women,0,2020,Liberty,SUNY-Fredonia,9,3
Mash-Up 2020,College,250031,Haverford/Bryn Mawr,11,RIT,1,3/7/20,Women,0,2020,Haverford/Bryn Mawr,RIT,11,1
Mash-Up 2020,College,250032,Cincinnati,11,Rhode Island,4,3/7/20,Women,0,2020,Cincinnati,Rhode Island,11,4
Mash-Up 2020,College,250033,Cincinnati,8,Vermont B,6,3/8/20,Women,0,2020,Cincinnati,Vermont B,8,6
Mash-Up 2020,College,250034,Haverford/Bryn Mawr,12,SUNY-Fredonia,4,3/8/20,Women,0,2020,Haverford/Bryn Mawr,SUNY-Fredonia,12,4
Mash-Up 2020,College,250035,RIT,1,Rhode Island,13,3/8/20,Women,0,2020,Rhode Island,RIT,13,1
Mash-Up 2020,College,250036,Liberty,10,Vermont B,5,3/8/20,Women,0,2020,Liberty,Vermont B,10,5
Mash-Up 2020,College,250037,Cincinnati,12,SUNY-Fredonia,3,3/8/20,Women,0,2020,Cincinnati,SUNY-Fredonia,12,3
Mash-Up 2020,College,250038,Haverford/Bryn Mawr,12,Rhode Island,6,3/8/20,Women,0,2020,Haverford/Bryn Mawr,Rhode Island,12,6
Mash-Up 2020,College,250039,Liberty,13,RIT,3,3/8/20,Women,0,2020,Liberty,RIT,13,3
Mash-Up 2020,College,250040,Cincinnati,9,Haverford/Bryn Mawr,8,3/8/20,Women,0,2020,Cincinnati,Haverford/Bryn Mawr,9,8
Mash-Up 2020,College,250041,Vermont B,9,SUNY-Fredonia,4,3/8/20,Women,0,2020,Vermont B,SUNY-Fredonia,9,4
Mash-Up 2020,College,250042,Liberty,13,Haverford/Bryn Mawr,6,3/8/20,Women,0,2020,Liberty,Haverford/Bryn Mawr,13,6
Mash-Up 2020,College,250043,Cincinnati,9,Vermont B,6,3/8/20,Women,0,2020,Cincinnati,Vermont B,9,6
Mash-Up 2020,College,250044,SUNY-Fredonia,5,Rhode Island,12,3/8/20,Women,0,2020,Rhode Island,SUNY-Fredonia,12,5
Country Roads Classic 2020,College,250074,Maryland-Baltimore County,11,Oberlin B,1,3/7/20,Women,0,2020,Maryland-Baltimore County,Oberlin B,11,1
Country Roads Classic 2020,College,250075,Miami (Ohio),10,Goucher,0,3/7/20,Women,0,2020,Miami (Ohio),Goucher,10,0
Country Roads Classic 2020,College,250076,Maryland-Baltimore County,10,Miami (Ohio),4,3/7/20,Women,0,2020,Maryland-Baltimore County,Miami (Ohio),10,4
Country Roads Classic 2020,College,250077,West Virginia,13,Goucher,2,3/7/20,Women,0,2020,West Virginia,Goucher,13,2
Country Roads Classic 2020,College,250078,Goucher,7,Oberlin B,5,3/7/20,Women,0,2020,Goucher,Oberlin B,7,5
Country Roads Classic 2020,College,250079,West Virginia,8,Miami (Ohio),4,3/7/20,Women,0,2020,West Virginia,Miami (Ohio),8,4
Country Roads Classic 2020,College,250080,Maryland-Baltimore County,11,Goucher,1,3/7/20,Women,0,2020,Maryland-Baltimore County,Goucher,11,1
Country Roads Classic 2020,College,250081,West Virginia,13,Oberlin B,0,3/7/20,Women,0,2020,West Virginia,Oberlin B,13,0
Country Roads Classic 2020,College,250082,Maryland-Baltimore County,7,West Virginia,6,3/7/20,Women,0,2020,Maryland-Baltimore County,West Virginia,7,6
Country Roads Classic 2020,College,250083,Miami (Ohio),13,Oberlin B,3,3/7/20,Women,0,2020,Miami (Ohio),Oberlin B,13,3
Santa Clara Rage Home Tournament 2020,College,250333,San Diego State University,10,California B,5,3/7/20,Women,0,2020,San Diego State University,California B,10,5
Santa Clara Rage Home Tournament 2020,College,250334,California-San Diego B,7,Nevada-Reno,6,3/7/20,Women,0,2020,California-San Diego B,Nevada-Reno,7,6
Santa Clara Rage Home Tournament 2020,College,250335,San Diego State University,8,California-San Diego B,5,3/7/20,Women,0,2020,San Diego State University,California-San Diego B,8,5
Santa Clara Rage Home Tournament 2020,College,250336,Santa Clara,6,Nevada-Reno,8,3/7/20,Women,0,2020,Nevada-Reno,Santa Clara,8,6
Santa Clara Rage Home Tournament 2020,College,250337,Nevada-Reno,10,California B,2,3/7/20,Women,0,2020,Nevada-Reno,California B,10,2
